epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,5045.26,0.66234,0.34689,0.8636,0.73786,0.64287,0.65419,0.48655,0.86707,0.38226,0.94479,0.00114715,0.00114715,0.00114715
128,5084.54,0.63432,0.33436,0.85546,0.93403,0.63477,0.64901,0.4773,0.86642,0.39041,0.94399,0.00114302,0.00114302,0.00114302
129,5124.09,0.63374,0.33846,0.85877,0.97315,0.63473,0.64656,0.45205,0.89143,0.39844,0.94921,0.00113889,0.00113889,0.00113889
130,5163.62,0.64297,0.34502,0.8563,0.97158,0.62803,0.6685,0.47589,0.87362,0.39681,0.95279,0.00113477,0.00113477,0.00113477
131,5202.79,0.67291,0.35612,0.86245,0.88766,0.66914,0.67511,0.47126,0.88385,0.39093,0.94665,0.00113064,0.00113064,0.00113064
132,5242.02,0.67621,0.3534,0.86537,0.77206,0.66914,0.6614,0.46541,0.89808,0.38507,0.94217,0.00112652,0.00112652,0.00112652
133,5283.91,0.67299,0.35377,0.8608,0.96783,0.59559,0.61734,0.45625,0.87184,0.39548,0.94652,0.00112239,0.00112239,0.00112239
134,5323.2,0.64446,0.34176,0.85115,0.98155,0.63313,0.65079,0.46297,0.87852,0.37883,0.94405,0.00111827,0.00111827,0.00111827
135,5362.54,0.624,0.3324,0.8589,0.97762,0.63429,0.65674,0.46374,0.87179,0.38321,0.93209,0.00111414,0.00111414,0.00111414
136,5401.87,0.62666,0.3337,0.85576,0.98933,0.63702,0.65901,0.44872,0.88069,0.38367,0.94206,0.00111001,0.00111001,0.00111001
137,5441.32,0.64467,0.34104,0.85792,0.81941,0.63617,0.6503,0.44071,0.89895,0.38611,0.95281,0.00110589,0.00110589,0.00110589
138,5480.61,0.64478,0.34597,0.86109,0.95475,0.63747,0.66747,0.44844,0.89257,0.40405,0.94729,0.00110176,0.00110176,0.00110176
139,5519.99,0.64638,0.34772,0.85873,0.84983,0.63477,0.65072,0.47319,0.89188,0.39671,0.95416,0.00109764,0.00109764,0.00109764
140,5559.28,0.67228,0.3547,0.86381,0.83113,0.63217,0.63449,0.46093,0.89406,0.39676,0.95726,0.00109351,0.00109351,0.00109351
141,5598.55,0.64558,0.34831,0.84723,0.77409,0.63612,0.64306,0.44536,0.89026,0.40212,0.944,0.00108938,0.00108938,0.00108938
142,5641.31,0.63195,0.3473,0.84991,0.97309,0.63073,0.64338,0.46496,0.87518,0.39564,0.94482,0.00108526,0.00108526,0.00108526
143,5680.42,0.61943,0.33258,0.85025,0.81694,0.60175,0.67323,0.46513,0.88722,0.3907,0.94427,0.00108113,0.00108113,0.00108113
